City,District,Ward,Street,address,area_value,price_value_trieu,price_per_m2_final
Hà Nội,Quận Thanh Xuân,Phường Nhân Chính,Đường Lê Văn Lương,"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",3.5,400.0,114285714.28571428
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Đường Xuân Thủy,"Đường Xuân Thủy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",300.0,200.0,666666.6666666666
Hà Nội,Quận Hoàn Kiếm,Phường Tràng Tiền,Phố Tràng Tiền,"Phố Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",100.0,200.0,2000000.0
Hà Nội,Quận Đống Đa,Phường Láng Hạ,Phố Thái Hà,"Phố Thái Hà, Phường Láng Hạ, Quận Đống Đa, Hà Nội",1.0,200.0,200000000.0
Hà Nội,Quận Hoàn Kiếm,Phường Phan Chu Trinh,Phố Phan Chu Trinh,"Phố Phan Chu Trinh, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội",500.0,200.0,400000.0
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,Phố Trần Đăng Ninh,"Phố Trần Đăng Ninh, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",1.0,200.0,200000000.0
Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,Đường Trần Duy Hưng,"Đường Trần Duy Hưng, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",1.0,200.0,200000000.0
Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 1,Phố Đỗ Đình Thiện,"Đường Đỗ Đình Thiện, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",100.0,50.0,500000.0
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,Phố Trần Đăng Ninh,"Phố Trần Đăng Ninh, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",500.0,100.0,200000.0
Hà Nội,Quận Ba Đình,Phường Giảng Võ,Đường Giảng Võ,"Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội",200.0,100.0,500000.0
Hà Nội,Quận Hoàn Kiếm,Phường Tràng Tiền,Phố Tràng Tiền,"Phố Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",200.0,200.0,1000000.0
Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Phố Trung Kính,"Phố Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",30.0,20.0,666666.6666666666
Hà Nội,Quận Thanh Xuân,Phường Nhân Chính,Đường Lê Văn Lương,"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",4.5,350.0,77777777.77777778
Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Phố Thành Thái,"Đường Thành Thái, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",2.0,600.0,300000000.0
Hà Nội,Quận Hoàn Kiếm,Phường Tràng Tiền,Phố Tông Đản,"Phố Tông Đản, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",251.0,150.0,597609.561752988
Cần Thơ,Quận Ninh Kiều,Phường Xuân Khánh,Đường 30 Tháng 4,"Đường 30 Tháng 4, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",112.0,35.0,312500.0
Đắk Lắk,Buôn Ma Thuột,Phường Ea Tam,Đường Tuệ Tĩnh,"Đường Tuệ Tĩnh, Phường Ea Tam, Thành phố Buôn Ma Thuột, Đắk Lắk",200.0,4.5,22500.0
Đồng Nai,Biên Hòa,Phường Tam Hòa,Đường Phạm Văn Thuận,"Đường Phạm Văn Thuận, Phường Tam Hòa, Thành phố Biên Hoà, Đồng Nai",900.0,70.0,77777.77777777778
Đồng Nai,Biên Hòa,Phường Tân Mai,Đường Đồng Khởi,"Đường Đồng Khởi, Phường Tân Mai, Thành phố Biên Hoà, Đồng Nai",1.2,79.0,65833333.333333336
Bà Rịa-Vũng Tàu,Vũng Tàu,Phường Thắng Tam,,"Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu",162.0,15.000000000000002,92592.5925925926
Hà Nội,Quận Hoàng Mai,Phường Định Công,Đường Định Công,"Đường Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",890.0,235.0,264044.9438202247
Hải Phòng,Quận Hồng Bàng,Phường Hạ Lý,Đường Bạch Đằng,"Đường Bạch Đằng, Phường Hạ Lý, Quận Hồng Bàng, Hải Phòng",105.0,25.0,238095.2380952381
Hà Nội,Quận Đống Đa,Phường Láng Thượng,Đường Láng,"Đường Láng Hạ, Phường Láng Thượng, Quận Đống Đa, Hà Nội",90.0,18.9,210000.0
Hà Nội,Huyện Thanh Trì,Xã Tứ Hiệp,Đường Ngọc Hồi,"Đường Ngọc Hồi, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",47.0,17.0,361702.12765957444
Hà Nội,Quận Hà Đông,Phường Hà Cầu,Đường Hà Trì 1,"Đường Hà Trì, Phường Hà Cầu, Quận Hà Đông, Hà Nội",400.0,145.0,362500.0
Hà Nội,Quận Đống Đa,Phường Cát Linh,,"Phường Cát Linh, Quận Đống Đa, Hà Nội",40.0,12.0,300000.0
Hà Nội,Quận Hoàng Mai,Phường Hoàng Văn Thụ,Đường Hoàng Mai,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",40.0,19.0,475000.0
Hồ Chí Minh,Thủ Đức,Phường Trường Thọ,Đường Số 1,"Đường số 1, Phường Trường Thọ, Thành phố Thủ Đức, Hồ Chí Minh",152.0,19.0,125000.0
Hồ Chí Minh,Thủ Đức,Phường Linh Tây,Đường Phạm Văn Đồng,"Đường Phạm Văn Đồng, Phường Linh Tây, Thành phố Thủ Đức, Hồ Chí Minh",56.0,11.0,196428.57142857142
Hà Nội,Quận Thanh Xuân,Phường Khương Mai,Phố Hoàng Văn Thái,"Phố Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",60.0,6.0,100000.0
Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Phố Trung Kính,"Phố Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",140.0,65.0,464285.71428571426
Hà Nội,Quận Đống Đa,Phường Trung Liệt,Phố Thái Hà,"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",55.0,40.0,727272.7272727273
Hà Nội,Quận Đống Đa,Phường Láng Hạ,Đường Láng Hạ,"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",120.0,55.0,458333.3333333333
Hà Nội,Quận Đống Đa,Phường Cát Linh,Phố Hào Nam,"Phố Hào Nam, Phường Cát Linh, Quận Đống Đa, Hà Nội",80.0,25.0,312500.0
Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 2,Đường Nguyễn Hoàng,"Đường Nguyễn Hoàng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",60.0,50.0,833333.3333333334
Hà Nội,Quận Ba Đình,Phường Thành Công,Phố Thành Công,"Phố Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội",70.0,25.0,357142.85714285716
Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,Phố Hoàng Cầu,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",100.0,36.0,360000.0
Hà Nội,Quận Đống Đa,Phường Trung Liệt,Phố Thái Hà,"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",60.0,45.0,750000.0
