City,District,Ward,area_value,price_value_trieu,price_per_m2_final
Hà Nội,Thanh Xuân,Nhân Chính,200.0,160.0,800000.0
Hà Nội,Cầu Giấy,Trung Hòa,800.0,150.0,187500.0
Hà Nội,Cầu Giấy,Dịch Vọng,400.0,220.0,550000.0
Hà Nội,Ba Đình,Ngọc Khánh,600.0,100.0,166666.66666666666
Hà Nội,Ba Đình,Giảng Võ,3.0,999.0,333000000.0
Hà Nội,Hai Bà Trưng,Bạch Đằng,240.0,180.0,750000.0
Hà Nội,Hai Bà Trưng,Nguyễn Du,1.4,550.0,392857142.85714287
Hà Nội,Ba Đình,Liễu Giai,3.5,900.0,257142857.1428572
Hà Nội,Hà Đông,Mộ Lao,300.0,90.0,300000.0
Hà Nội,Cầu Giấy,Dịch Vọng,900.0,350.0,388888.8888888889
Hà Nội,Hai Bà Trưng,Bạch Đằng,2.0,350.0,175000000.0
Hà Nội,Tây Hồ,Phú Thượng,1.0,160.0,160000000.0
Hà Nội,Cầu Giấy,Trung Hòa,300.0,120.0,400000.0
Hà Nội,Cầu Giấy,Nghĩa Đô,2.0,500.0,250000000.0
Hà Nội,Đống Đa,Trung Liệt,105.0,130.0,1238095.238095238
Hà Nội,Hoàn Kiếm,Hàng Buồm,1.2,220.0,183333333.3333333
Hà Nội,Hoàn Kiếm,Hàng Bài,1.0,300.0,300000000.0
Hà Nội,Tây Hồ,Xuân La,1.0,300.0,300000000.0
Hà Nội,Hai Bà Trưng,Minh Khai,1.0,140.0,140000000.0
Hà Nội,Cầu Giấy,Quan Hoa,1.8,180.0,100000000.0
Hà Nội,Hai Bà Trưng,Phố Huế,2.8,200.0,71428571.42857143
Hà Nội,Cầu Giấy,Dịch Vọng,1.2,200.00000000000003,166666666.6666667
Hà Nội,Nam Từ Liêm,Mễ Trì,600.0,120.0,200000.0
Hà Nội,Hai Bà Trưng,Lê Đại Hành,2.6,300.0,115384615.38461538
Hà Nội,Tây Hồ,Thụy Khuê,2.0,350.0,175000000.0
Hà Nội,Cầu Giấy,Yên Hòa,1.2,130.0,108333333.33333334
Hà Nội,Cầu Giấy,Trung Hòa,250.0,160.0,640000.0
Hà Nội,Cầu Giấy,Quan Hoa,600.0,90.0,150000.0
Hà Nội,Cầu Giấy,Trung Hòa,200.0,150.0,750000.0
Hà Nội,Cầu Giấy,Trung Hòa,700.0,150.0,214285.7142857143
Hà Nội,Cầu Giấy,Trung Hòa,1.2,220.0,183333333.3333333
